294.9 304 282.4 278.6 320 330 322 311.3 350 0 329.5 329.7 0 210 255.1 300 230 240 255.2 248.9 260 270 276.3 264.9 290 300 300 287.9 305.4 312.1 314.9 310.1 294 273.7 265.6 266.6 271.9 280 288.4 297.5 304.6 307.9 322.9 333.1 314.4 340 255.4 235.6 262.2 254.9 282.6 281 326 332.1 336.1 337.1 343.1 353.8 3.143 11.29 14.84 7.331 13.64 76.2 134.7 171 194.9 216.7 222.8 220 223.4 230.3 238.1 246.9 253 255 259.4 265.3 271.2 277 283 287.4 292.6 298.4 303.3 307 313 319.7 
311 324 308.3 296.5 330 340 335.1 323.7 0 9.987 351.1 344.8 30 0 300 344.9 240 250 270.3 270.5 270 280 288.7 278 300 310 312.1 300 320 328.1 333.4 334.4 326.3 306 289.9 285.1 287.9 294.6 302.5 311.6 317.4 319 337.8 345.1 344.6 4.353 285.6 260 277.1 266.9 295.4 292.1 334.7 340.6 345 347 353.1 1.927 9.72 16.6 20.03 17.17 23.25 45.12 68.99 105.3 163.8 226.4 232.7 225.2 228.7 236.9 246.2 256.9 262.9 263.9 267.9 274 280.3 287 293 296.7 301.6 307.4 312.6 317 323 328.8 
315.2 335.6 315.3 294.8 336.3 348.7 345.2 330 15.16 30.33 15.23 0 75.07 120 0 30 209.5 231.1 255.2 240 262 275.1 285.2 270 300 312.1 315.2 300 326.5 338 347.5 354.3 351 314.7 280.2 276.2 282.5 292.6 303.3 315.3 322.2 323.4 350.1 357.2 14.88 36.75 256.2 193.6 266.8 254.8 294 290.1 341.1 348.2 353.8 357.6 5.557 15.3 24.37 33.36 39.97 42.83 55.65 75.36 93.71 114 134.4 160 187.3 194.8 205.2 217.7 229.8 242.9 252 255 260.8 268.5 276.1 284 291.4 296 301.9 308.8 315 320.5 327.8 334.3 
292.9 306.3 269.3 269.6 324.9 338 330 314.8 8.945 30.52 0 344.8 120 164.9 210 0 209.7 224.8 240 224.8 251.3 263.7 270 254.8 287.9 300 300 284.8 307.4 317.5 323.8 319.8 285.3 249 245.7 252.5 262 273.5 284.7 296.7 306 309.9 333.2 345.2 343.8 46.36 225.1 203.3 249.9 242.8 277.8 276.6 331.5 339.2 345 348 357.1 10.22 22.3 34.77 45.16 52.67 79.99 105.6 126 146.3 164.6 184.4 197.2 200 206.6 215.6 224.7 234.4 242.4 246.2 251.8 258.9 265.7 272.2 279.5 285 291.2 298.1 304 308.6 316 323.9 
343.3 0 0 336.8 350 0 0 347.9 20.01 30 21.96 11.35 50.01 60 29.48 29.67 0 270 315.1 0 290 300 315.2 308.9 320 330 336.3 324.9 348.4 357.5 5.395 12.12 14.9 10.06 354 333.7 325.6 326.6 331.9 340 342.6 341 4.64 7.884 22.91 33.09 14.36 40.01 315.4 295.6 322.2 314.9 352.6 358.4 3.314 7.021 13.05 19.66 25.98 32.06 36.08 37.08 43.12 53.84 63.14 71.29 74.84 67.33 73.64 136.2 194.7 231 254.9 276.7 282.8 280 283.4 290.3 298.1 306.9 313 315 319.4 325.3 331.2 337 343 347.4 
0 16.67 23.16 0 0 9.987 12.07 0 30 39.99 35.15 23.71 60 69.99 51.05 44.84 90 0 0 44.93 300 310 330.3 330.5 330 340 348.7 338 2.499 11.63 20.02 28.06 33.44 34.38 26.29 5.98 349.9 345.1 347.9 354.6 355.4 352.1 17.39 18.96 37.77 45.11 44.64 64.35 345.6 320 337.1 326.9 1.579 7.407 12.59 16.99 23.02 28.83 34.7 40.63 44.96 47.04 53.07 61.93 69.72 76.6 80.03 77.17 83.25 105.1 129 165.3 223.8 286.4 292.7 285.2 288.7 296.9 306.2 316.9 322.9 323.9 327.9 334 340.3 347 353 356.7 
0 23.16 36.82 0 0 12.07 15.23 0 36.29 48.65 45.23 30 75.16 90.33 75.23 60 135.1 180 0 90 269.5 291.1 315.2 300 322 335.1 345.2 330 3.331 15.35 26.54 38.05 47.52 54.27 51.01 14.68 340.2 336.2 342.5 352.6 354 350.1 22.19 23.39 50.14 57.19 74.88 96.74 316.2 253.6 326.8 314.8 1.875 8.776 14.99 20.51 27.78 34.32 41.07 48.19 53.85 57.62 65.56 75.29 84.37 93.36 99.97 102.8 115.6 135.4 153.7 174 194.4 220 247.3 254.8 265.2 277.7 289.8 302.9 312 315 320.8 328.5 336.1 344 351.4 356 
336.8 0 0 323.2 347.9 0 0 344.8 24.85 38.04 30 14.77 68.95 90.52 60 44.77 180 224.9 270 0 269.7 284.8 300 284.8 311.3 323.7 330 314.8 344.7 356.7 7.377 17.51 23.75 19.82 345.3 309 305.7 312.5 322 333.5 337.8 336.6 6.037 9.888 33.15 45.2 43.8 106.4 285.1 263.3 309.9 302.8 351.2 358.1 3.971 8.571 16.03 23.9 31.52 39.21 44.97 47.98 57.14 70.22 82.3 94.77 105.2 112.7 140 165.6 186 206.3 224.6 244.4 257.2 260 266.6 275.6 284.7 294.4 302.4 306.2 311.8 318.9 325.7 332.2 339.5 345 
35.98 49.01 63.48 51.66 20.01 30 36.29 24.85 50.01 60 60 47.93 80.01 90 81.96 71.35 110 120 89.48 89.67 0 330 15.07 60 350 0 15.16 8.945 31.94 39.98 48.37 57.5 65.4 72.12 74.9 70.06 54.02 33.71 25.62 26.56 22.23 14.89 42.61 41.04 64.64 67.88 82.91 93.09 74.36 100 15.36 355.6 19.37 25.3 31.17 36.98 43.01 47.41 52.59 58.42 63.31 67.02 73.05 79.66 85.98 92.06 96.08 97.08 103.1 113.8 123.1 131.3 134.8 127.3 133.6 196.2 254.7 291 314.9 336.7 342.8 340 343.4 350.3 358.1 6.926 12.96 15.04 
56.04 65.13 81.4 77.6 30 39.99 48.65 38.04 60 69.99 72.07 60 90 99.99 95.15 83.71 120 130 111.1 104.8 150 0 60 104.9 0 9.987 30.33 30.52 47.88 54.6 62.5 71.63 80.02 88.06 93.44 94.38 86.29 65.98 49.94 45.1 37.09 26.91 55.36 52.12 77.39 78.96 97.77 105.1 104.6 124.4 45.64 19.99 27.94 34.02 40.34 46.95 52.98 56.69 61.58 67.41 72.59 76.99 83.02 88.83 94.7 100.6 105 107 113.1 121.9 129.7 136.6 140 137.2 143.3 165.1 189 225.3 283.8 346.4 352.7 345.2 348.7 356.9 6.162 16.88 22.92 23.92 
